#,Date-Time (HST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,06/16/2023 14:30:00,23.914,,
2,06/16/2023 14:40:00,24.332,,
3,06/16/2023 14:50:00,29.405,,
4,06/16/2023 15:00:00,31.100,,
5,06/16/2023 15:10:00,31.400,,
6,06/16/2023 15:20:00,31.357,,
7,06/16/2023 15:30:00,31.218,,
8,06/16/2023 15:40:00,31.100,,
9,06/16/2023 15:50:00,31.336,,
10,06/16/2023 16:00:00,32.162,,
11,06/16/2023 16:10:00,32.366,,
12,06/16/2023 16:20:00,32.333,,
13,06/16/2023 16:29:26,,Logged,
14,06/16/2023 16:30:00,32.290,,
15,06/16/2023 16:40:00,32.419,,
16,06/16/2023 16:50:00,32.398,,
17,06/16/2023 17:00:00,32.205,,
18,06/16/2023 17:10:00,32.312,,
19,06/16/2023 17:20:00,32.312,,
20,06/16/2023 17:30:00,32.140,,
21,06/16/2023 17:40:00,32.280,,
22,06/16/2023 17:50:00,30.735,,
23,06/16/2023 18:00:00,26.499,,
24,06/16/2023 18:10:00,24.633,,
25,06/16/2023 18:20:00,23.882,,
26,06/16/2023 18:30:00,23.550,,
27,06/16/2023 18:40:00,23.356,,
28,06/16/2023 18:50:00,23.271,,
29,06/16/2023 19:00:00,23.217,,
30,06/16/2023 19:10:00,23.153,,
31,06/16/2023 19:20:00,23.088,,
32,06/16/2023 19:30:00,23.024,,
33,06/16/2023 19:40:00,22.960,,
34,06/16/2023 19:50:00,22.863,,
35,06/16/2023 20:00:00,22.810,,
36,06/16/2023 20:10:00,23.356,,
37,06/16/2023 20:20:00,24.568,,
38,06/16/2023 20:30:00,25.673,,
39,06/16/2023 20:40:00,26.006,,
40,06/16/2023 20:50:00,26.070,,
41,06/16/2023 21:00:00,26.467,,
42,06/16/2023 21:10:00,26.553,,
43,06/16/2023 21:20:00,26.488,,
44,06/16/2023 21:30:00,26.360,,
45,06/16/2023 21:40:00,26.681,,
46,06/16/2023 21:50:00,26.317,,
47,06/16/2023 22:00:00,26.209,,
48,06/16/2023 22:10:00,26.638,,
49,06/16/2023 22:20:00,26.520,,
50,06/16/2023 22:30:00,26.327,,
51,06/16/2023 22:40:00,26.789,,
52,06/16/2023 22:50:00,26.756,,
53,06/16/2023 23:00:00,26.595,,
54,06/16/2023 23:10:00,26.842,,
55,06/16/2023 23:20:00,26.939,,
56,06/16/2023 23:30:00,26.821,,
57,06/16/2023 23:40:00,26.649,,
58,06/16/2023 23:50:00,26.467,,
59,06/17/2023 00:00:00,26.295,,
60,06/17/2023 00:10:00,26.134,,
61,06/17/2023 00:20:00,25.963,,
62,06/17/2023 00:30:00,25.823,,
